school,city,county,SchoolCode,SchoolName
BEAR CREEK HIGH SCHOOL,Stockton,San Joaquin,3930237,Bear Creek High
CA ONLINE PUBLIC SCH CENTRAL VALLEY,Ripon,San Joaquin,NA,NA
CA ONLINE PUBLIC SCH MONTEREY BAY,Ripon,San Joaquin,NA,NA
CA ONLINE PUBLIC SCH NORTHERN CA,Ripon,San Joaquin,NA,NA
CESAR CHAVEZ HIGH SCHOOL,Stockton,San Joaquin,0108159,Cesar Chavez High
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,3932001,East Union High
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,3932100,Edison High
EDWARD C MERLO INSTITUTE,Stockton,San Joaquin,0115402,Edward C. Merlo Institute of Environmental Studies
ESCALON HIGH SCHOOL,Escalon,San Joaquin,3932308,Escalon High
FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,3932654,Franklin High
HEALTH CAREERS ACADEMY HS,Stockton,San Joaquin,0123802,Health Careers Academy
JOHN C KIMBALL HIGH SCHOOL,Tracy,San Joaquin,0119040,John C. Kimball High
LATHROP HIGH SCHOOL,Lathrop,San Joaquin,0116376,Lathrop High
LINCOLN HIGH SCHOOL,Stockton,San Joaquin,3933801,Lincoln High
LINDEN HIGH SCHOOL,Linden,San Joaquin,3933959,Linden High
LODI HIGH SCHOOL,Lodi,San Joaquin,3934783,Lodi High
MANTECA HIGH SCHOOL,Manteca,San Joaquin,3935103,Manteca High
MERRILL F WEST HIGH SCHOOL,Tracy,San Joaquin,3930302,Merrill F. West High
MIDDLE COLLEGE HIGH SCHOOL,Stockton,San Joaquin,3930443,Middle College High
MILLENNIUM HIGH SCHOOL,Tracy,San Joaquin,0102392,Millennium Charter
MOUNTAIN HOUSE HIGH SCHOOL,Mountain House,San Joaquin,0128967,Mountain House High
PACIFIC LAW ACADEMY,Stockton,San Joaquin,0124248,Pacific Law Academy
RIPON HIGH SCHOOL,Ripon,San Joaquin,3935756,Ripon High
RONALD E MCNAIR HIGH SCHOOL,Stockton,San Joaquin,0108225,Ronald E. McNair High
SIERRA HIGH SCHOOL,Manteca,San Joaquin,3930310,Sierra High
STAGG HIGH SCHOOL,Stockton,San Joaquin,3937406,Stagg Senior High
STOCKTON COLLEGIATE INTL HIGH SCHOO,Stockton,San Joaquin,0120733,Stockton Collegiate International Secondary
STOCKTON EARLY COLLEGE ACADEMY,Stockton,San Joaquin,0119743,Stockton Early College Academy
TOKAY HIGH SCHOOL,Lodi,San Joaquin,3934759,Tokay High
TRACY HIGH SCHOOL,Tracy,San Joaquin,3938008,Tracy High
VENTURE ACADEMY,Stockton,San Joaquin,3930476,Venture Academy
WEBER INSTITUTE OF APPLIED SCIENCES,Stockton,San Joaquin,3930427,Weber Institute
WESTON RANCH HIGH SCHOOL,Stockton,San Joaquin,0101576,Weston Ranch High
ARROYO GRANDE HIGH SCHOOL,Arroyo Grande,San Luis Obispo,4030557,Arroyo Grande High
ATASCADERO HIGH SCHOOL,Atascadero,San Luis Obispo,4030755,Atascadero High
CENTRAL COAST NEW TECH HIGH SC,Nipomo,San Luis Obispo,0125328,Central Coast New Tech High
MORRO BAY HIGH SCHOOL,Morro Bay,San Luis Obispo,4034807,Morro Bay High
NIPOMO HIGH SCHOOL,Nipomo,San Luis Obispo,4030268,Nipomo High
PASO ROBLES HIGH SCHOOL,Paso Robles,San Luis Obispo,4035754,Paso Robles High
SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,4036703,San Luis Obispo High
TEMPLETON HIGH SCHOOL,Templeton,San Luis Obispo,4037701,Templeton High
ARAGON HIGH SCHOOL,San Mateo,San Mateo,4130217,Aragon High
BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,4130472,Burlingame High
CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,4130738,Capuchino High
CARLMONT HIGH SCHOOL,Belmont,San Mateo,4130993,Carlmont High
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,0129759,Design Tech High
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,0126722,East Palo Alto Academy
EL CAMINO HIGH,South San Francisco,San Mateo,4132551,El Camino High
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,0119503,Everest Public High
HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo,4132817,Half Moon Bay High
HILLSDALE HIGH SCHOOL,San Mateo,San Mateo,4133070,Hillsdale High
JEFFERSON HIGH SCHOOL,Daly City,San Mateo,4133393,Jefferson High
KIPP ESPERANZA HIGH SCHOOL,East Palo Alto,San Mateo,0139915,KIPP Esperanza High
MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,4133716,Menlo-Atherton High
MILLS HIGH SCHOOL,Millbrae,San Mateo,4134557,Mills High
OCEANA HIGH SCHOOL,Pacifica,San Mateo,4135075,Oceana High
OXFORD DAY ACADEMY,East Palo Alto,San Mateo,0135269,Oxford Day Academy
SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,4136370,San Mateo High
SEQUOIA HIGH SCHOOL,Redwood City,San Mateo,4136693,Sequoia High
SOUTH SAN FRANCISCO HS,South San Francisco,San Mateo,4137279,South San Francisco High
SUMMIT PREPARATORY CHARTER HIG,Redwood City,San Mateo,0112722,Summit Preparatory Charter High
SUMMIT PUBLIC SCHOOLS SHASTA,Daly City,San Mateo,0127548,Summit Public School: Shasta
TERRA NOVA HIGH SCHOOL,Pacifica,San Mateo,4137535,Terra Nova High
TIDE ACADEMY,Menlo Park,San Mateo,0138420,Tide Academy
WESTMOOR HIGH SCHOOL,Daly City,San Mateo,4137790,Westmoor High
WOODSIDE HIGH SCHOOL,Woodside,San Mateo,4138053,Woodside High
CABRILLO HIGH SCHOOL,Lompoc,Santa Barbara,4230454,Cabrillo High
CARPINTERIA HIGH SCHOOL,Carpinteria,Santa Barbara,4230587,Carpinteria Senior High
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,4231726,Dos Pueblos Senior High
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,4234613,Ernest Righetti High
LOMPOC HIGH SCHOOL,Lompoc,Santa Barbara,4233060,Lompoc High
ORCUTT ACADEMY CHARTER HIGH SCHOOL,Orcutt,Santa Barbara,0116434,Orcutt Academy Charter
PIONEER VALLEY HIGH SCHOOL,Santa Maria,Santa Barbara,0102285,Pioneer Valley High
SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,4235230,San Marcos Senior High
SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,4235727,Santa Barbara Senior High
SANTA MARIA HIGH SCHOOL,Santa Maria,Santa Barbara,4236030,Santa Maria High
SANTA YNEZ VALLEY UNION HS,Santa Ynez,Santa Barbara,4236345,Santa Ynez Valley Union High
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,4333795,Abraham Lincoln High
ACE CHARTER HIGH SCHOOL,San Jose,Santa Clara,0125617,ACE Charter High
ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,4338802,Adrian Wilcox High
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,0132274,Alpha Cindy Avitia High
ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,4332995,Andrew P. Hill High
ANN SOBRATO HIGH SCHOOL,Morgan Hill,Santa Clara,0102368,Ann Sobrato High
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,4330866,Branham High
CHRISTOPHER HIGH SCHOOL,Gilroy,Santa Clara,0118380,Christopher High
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,4331799,Cupertino High
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,4331955,Del Mar High
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,4330585,Downtown College Preparatory
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,0114496,Dr. TJ Owens Gilroy Early College Academy
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,4330692,Evergreen Valley High
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,4332474,Fremont High
GILROY HIGH SCHOOL,Gilroy,Santa Clara,4332839,Gilroy High
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,4332904,Henry M. Gunn High
HENRY T GUNDERSON HIGH SCHOOL,San Jose,Santa Clara,4330080,Gunderson High
HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,4333316,Homestead High
INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara,4330031,Independence High
JAMES LICK HIGH SCHOOL,San Jose,Santa Clara,4333639,James Lick High
KIPP NAVIGATE COLLEGE PREP,San Jose,Santa Clara,0137315,KIPP Navigate College Prep
KIPP SAN JOSE COLLEGIATE,San Jose,Santa Clara,0116889,KIPP San Jose Collegiate
LATINO COLLEGE PREP ACADEMY,San Jose,Santa Clara,4330668,Latino College Preparatory Academy
LEIGH HIGH SCHOOL,San Jose,Santa Clara,4330239,Leigh High
LELAND HIGH SCHOOL,San Jose,Santa Clara,4333522,Leland High
LIVE OAK HIGH SCHOOL,Morgan Hill,Santa Clara,4333951,Live Oak High
LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,4334116,Los Altos High
LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,4334371,Los Gatos High
LUIS VALDEZ LEADERSHIP ACADEMY,San Jose,Santa Clara,0130856,Luis Valdez Leadership Academy
LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,4334421,Lynbrook High
MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,4334470,Milpitas High
MILPITAS MIDDLE COLLEGE HS,Milpitas,Santa Clara,0140673,Milpitas Middle College High
MISSION EARLY COLLEGE HIGH SCH,Santa Clara,Santa Clara,0135970,Mission Early College High
MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,4334462,Monta Vista High
MOUNT PLEASANT HIGH SCHOOL,San Jose,Santa Clara,4334900,Mt. Pleasant High
MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,4334728,Mountain View High
OAK GROVE HIGH SCHOOL,San Jose,Santa Clara,4335204,Oak Grove High
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,4335782,Palo Alto High
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,4335907,Piedmont Hills High
PIONEER HIGH SCHOOL,San Jose,Santa Clara,4335949,Pioneer High
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,4336137,Prospect High
ROBERTO CRUZ LEADERSHIP ACDMY,San Jose,Santa Clara,0131995,B. Roberto Cruz Leadership Academy
SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,4337200,San Jose High
SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,4330122,Santa Clara High
SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,4330023,Santa Teresa High
SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,4337762,Saratoga High
SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,4337903,Silver Creek High
SUMMIT PUBLIC SCHOOL-TAHOMA,San Jose,Santa Clara,0123794,Summit Public School: Tahoma
UNIVERSITY PREP ACADEMY,San Jose,Santa Clara,0113431,University Preparatory Academy Charter
WESTMONT HIGH SCHOOL,Campbell,Santa Clara,4338505,Westmont High
WILLIAM C OVERFELT HIGH SCHOOL,San Jose,Santa Clara,4335428,William C. Overfelt High
WILLOW GLEN HIGH SCHOOL,San Jose,Santa Clara,4338950,Willow Glen High
YERBA BUENA HIGH SCHOOL,San Jose,Santa Clara,4330015,Yerba Buena High
APTOS HIGH SCHOOL,Aptos,Santa Cruz,4430518,Aptos High
CEIBA COLLEGE PREPARATORY ACAD,Watsonville,Santa Cruz,0117804,Ceiba College Preparatory Academy
HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz,4432340,Harbor High
PACIFIC COLLEGIATE SCHOOL,Santa Cruz,Santa Cruz,4430252,Pacific Collegiate Charter
PAJARO VALLEY HS,Watsonville,Santa Cruz,0105858,Pajaro Valley High
SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,4436754,San Lorenzo Valley High
SANTA CRUZ HIGH SCHOOL,Santa Cruz,Santa Cruz,4437109,Santa Cruz High
SCOTTS VALLEY HIGH SCHOOL,Scotts Valley,Santa Cruz,4430211,Scotts Valley High
SOQUEL HIGH SCHOOL,Soquel,Santa Cruz,4437406,Soquel High
WATSONVILLE HIGH SCHOOL,Watsonville,Santa Cruz,4437901,Watsonville High
ENTERPRISE HIGH SCHOOL,Redding,Shasta,4532750,Enterprise High
FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,4530044,Foothill High
SHASTA CHARTER ACADEMY,Redding,Shasta,4537304,Shasta High
SHASTA HIGH SCHOOL,Redding,Shasta,4537304,Shasta High
UNIVERSITY PREPARATORY SCHOOL,Redding,Shasta,0106013,University Preparatory
MOUNT SHASTA HIGH SCHOOL,Mount Shasta,Siskiyou,4735403,Mount Shasta High
WEED HIGH SCHOOL,Weed,Siskiyou,4738753,Weed High
YREKA HIGH SCHOOL,Yreka,Siskiyou,4739207,Yreka High
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,4830170,Angelo Rodriguez High
ARMIJO HIGH SCHOOL,Fairfield,Solano,4830451,Armijo High
BENICIA HIGH SCHOOL,Benicia,Solano,4831004,Benicia High
BUCKINGHAM COLLEGIATE CHARTER,Vacaville,Solano,4830113,Buckingham Collegiate Charter Academy
DIXON HIGH SCHOOL,Dixon,Solano,4832259,Dixon High
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,4833000,Fairfield High
GRIFFIN ACADEMY HIGH SCHOOL,Vallejo,Solano,0139816,Griffin Academy High
JESSE M BETHEL HIGH SCHOOL,Vallejo,Solano,4830147,Jesse M. Bethel High
MARE ISLAND TECHNOLOGY ACADEMY,Vallejo,Solano,NA,NA
PUBLIC SAFETY ACADEMY,Fairfield,Solano,0125310,Public Safety Academy
RIO VISTA HIGH SCHOOL,Rio Vista,Solano,NA,NA
VACAVILLE HIGH SCHOOL,Vacaville,Solano,4837803,Vacaville High
VALLEJO HIGH SCHOOL,Vallejo,Solano,4838504,Vallejo High
VANDEN HIGH SCHOOL,Fairfield,Solano,4838801,Vanden High
WILL C WOOD HIGH SCHOOL,Vacaville,Solano,4830089,Will C. Wood High
ANALY HIGH SCHOOL,Sebastopol,Sonoma,4930400,Analy High
CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,4930012,Casa Grande High
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,4930855,Cloverdale High
CREDO HIGH SCHOOL ARTS/LETTERS/SCI,Rohnert Park,Sonoma,0123786,Credo High
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,4930160,Elsie Allen High
HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma,4932554,Healdsburg High
MARIA CARRILLO HIGH SCHOOL,Santa Rosa,Sonoma,4930244,Maria Carrillo High
MONTGOMERY HIGH SCHOOL,Santa Rosa,Sonoma,4934154,Montgomery High
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,4935151,Petaluma High
PINER HIGH SCHOOL,Santa Rosa,Sonoma,4935292,Piner High
RANCHO COTATE HIGH SCHOOL,Rohnert Park,Sonoma,4935482,Rancho Cotate High
ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,0101923,Roseland Charter
ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,0101923,Roseland Charter
SANTA ROSA HIGH SCHOOL,Santa Rosa,Sonoma,4936803,Santa Rosa High
SONOMA VALLEY HIGH SCHOOL,Sonoma,Sonoma,4937256,Sonoma Valley High
TECHNOLOGY HIGH SCHOOL,Rohnert Park,Sonoma,4930384,Technology High
WINDSOR HIGH SCHOOL,Windsor,Sonoma,4930228,Windsor High
ASPIRE VANGUARD COL PREP ACAD,Modesto,Stanislaus,0120212,Aspire Vanguard College Preparatory Academy
CENTRAL VALLEY HIGH SCHOOL,Ceres,Stanislaus,0108076,Central Valley High
CERES HIGH SCHOOL,Ceres,Stanislaus,5030879,Ceres High
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,5030317,Connecting Waters Charter
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,5030317,Connecting Waters Charter
DENAIR HIGH SCHOOL,Denair,Stanislaus,5031521,Denair High
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,5030010,Fred C. Beyer High
GRACE M DAVIS HIGH SCHOOL,Modesto,Stanislaus,5031380,Grace M. Davis High
HUGHSON HIGH SCHOOL,Hughson,Stanislaus,5032651,Hughson High
JAMES C ENOCHS HIGH SCHOOL,Modesto,Stanislaus,0110593,James C. Enochs High
JOHANSEN HIGH SCHOOL,Modesto,Stanislaus,5030135,Peter Johansen High
JOHN H PITMAN HIGH SCHOOL,Turlock,Stanislaus,5030283,John H. Pitman High
JOSEPH A GREGORI HIGH SCHOOL,Modesto,Stanislaus,0121129,Joseph A. Gregori High
MODESTO HIGH SCHOOL,Modesto,Stanislaus,5034905,Modesto High
OAKDALE HIGH SCHOOL,Oakdale,Stanislaus,5035654,Oakdale High
ORESTIMBA HIGH SCHOOL,Newman,Stanislaus,5035902,Orestimba High
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,5036256,Patterson High
RIVERBANK HIGH SCHOOL,Riverbank,Stanislaus,5036850,Riverbank High
THOMAS DOWNEY HIGH SCHOOL,Modesto,Stanislaus,5031802,Thomas Downey High
TURLOCK HIGH SCHOOL,Turlock,Stanislaus,5037700,Turlock High
WATERFORD HIGH SCHOOL,Waterford,Stanislaus,5030259,Waterford High
LIVE OAK HIGH SCHOOL,Live Oak,Sutter,5135256,Live Oak High
RIVER VALLEY HIGH SCHOOL,Yuba City,Sutter,0107722,River Valley High
SOUTH SUTTER CHARTER SCHOOL,Nicolaus,Sutter,0109793,South Sutter Charter
SUTTER UNION HIGH SCHOOL,Sutter,Sutter,5137500,Sutter High
YUBA CITY HIGH SCHOOL,Yuba City,Sutter,5139001,Yuba City High
RED BLUFF HIGH SCHOOL,Red Bluff,Tehama,5237201,Red Bluff High
HAYFORK HIGH SCHOOL,Hayfork,Trinity,5337407,Hayfork High
DINUBA HIGH SCHOOL,Dinuba,Tulare,5431184,Dinuba High
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,5430368,El Diamante High
EXETER UNION HIGH SCHOOL,Exeter,Tulare,5431598,Exeter Union High
FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,5430210,Farmersville High
GOLDEN WEST HIGH SCHOOL,Visalia,Tulare,5430046,Golden West High
GRANITE HILLS HIGH SCHOOL,Porterville,Tulare,5430251,Granite Hills High
HARMONY MAGNET ACADEMY,Strathmore,Tulare,0116590,Harmony Magnet Academy
LINDSAY HIGH SCHOOL,Lindsay,Tulare,5432414,Lindsay Senior High
MISSION OAK HIGH SCHOOL,Tulare,Tulare,0116368,Mission Oak High
MONACHE HIGH SCHOOL,Porterville,Tulare,5432786,Monache High
MOUNT WHITNEY HIGH SCHOOL,Visalia,Tulare,5432828,Mt. Whitney High
OROSI HIGH SCHOOL,Orosi,Tulare,5433230,Orosi High
PORTERVILLE HIGH SCHOOL,Porterville,Tulare,5434113,Porterville High
REDWOOD HIGH SCHOOL,Visalia,Tulare,5434527,Redwood High
SUMMIT COLLEGIATE HIGH SCHOOL,Porterville,Tulare,0109009,Summit Charter Academy
TULARE UNION HIGH SCHOOL,Tulare,Tulare,5435409,Tulare Union High
TULARE WESTERN HIGH SCHOOL,Tulare,Tulare,5435466,Tulare Western High
UNIVERSITY PREPARTORY HIGH SCH,Visalia,Tulare,0119602,University Preparatory High
WOODLAKE HIGH SCHOOL,Woodlake,Tulare,5436282,Woodlake High
SONORA HIGH SCHOOL,Sonora,Tuolumne,5536503,Sonora High
SUMMERVILLE UNION HIGH SCHOOL,Tuolumne,Tuolumne,5536750,Summerville High
ADOLFO CAMARILLO HIGH SCHOOL,Camarillo,Ventura,5631619,Adolfo Camarillo High
BUENA HIGH SCHOOL,Ventura,Ventura,5630793,Buena High
CALIFORNIA VIRTUAL ACADEMY LA,Simi Valley,Ventura,NA,NA
CALIFORNIA VIRTUAL-SAN JOAQUIN,Simi Valley,Ventura,NA,NA
CHANNEL ISLANDS HIGH SCHOOL,Oxnard,Ventura,5631742,Channel Islands High
EL CAMINO HIGH SCHOOL,Ventura,Ventura,5630298,El Camino High
FILLMORE HIGH SCHOOL,Fillmore,Ventura,5632021,Fillmore Senior High
FOOTHILL TECHNOLOGY HS,Ventura,Ventura,5630348,Foothill Technology High
HIGH SCHOOL AT MOORPARK COLL,Moorpark,Ventura,5630371,The High School at Moorpark College
HUENEME HIGH SCHOOL,Oxnard,Ventura,5632849,Hueneme High
MOORPARK HIGH SCHOOL,Moorpark,Ventura,5633250,Moorpark High
NEWBURY PARK HIGH SCHOOL,Newbury Park,Ventura,5633748,Newbury Park High
NORDHOFF HIGH SCHOOL,Ojai,Ventura,5634076,Nordhoff High
OAK PARK HIGH SCHOOL,Oak Park,Ventura,5630132,Oak Park High
OAK PARK INDEPENDENT SCH,Oak Park,Ventura,5630256,Oak Park Independent
OXNARD HIGH SCHOOL,Oxnard,Ventura,5634548,Oxnard High
OXNARD MIDDLE COLLEGE HIGH SCH,Oxnard,Ventura,0136804,Oxnard Middle College High
PACIFICA HIGH SCHOOL,Oxnard,Ventura,5630389,Pacifica High
RANCHO CAMPANA HIGH SCHOOL,Camarillo,Ventura,0131698,Rancho Campana High
RIO MESA HIGH SCHOOL,Oxnard,Ventura,5634761,Rio Mesa High
ROYAL HIGH SCHOOL,Simi Valley,Ventura,5635008,Royal High
SANTA PAULA HIGH SCHOOL,Santa Paula,Ventura,5635776,Santa Paula High
SANTA SUSANA HIGH SCHOOL,Simi Valley,Ventura,5630322,Santa Susana High
SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura,5636188,Simi Valley High
THOUSAND OAKS HIGH SCHOOL,Thousand Oaks,Ventura,5637004,Thousand Oaks High
VENTURA HIGH SCHOOL,Ventura,Ventura,5637822,Ventura High
WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,5630116,Westlake High
DA VINCI CHARTER ACADEMY,Davis,Yolo,0119578,Da Vinci Charter Academy
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,5730098,Davis School for Independent Study
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,5732201,Davis Senior High
ESPARTO HIGH SCHOOL,Esparto,Yolo,5732904,Esparto High
PIONEER HIGH SCHOOL,Woodland,Yolo,0101162,Pioneer High
RIVER CITY HIGH SCHOOL,West Sacramento,Yolo,5735154,River City High
WASHINGTON MIDDLE COLLEGE HS,West Sacramento,Yolo,0135939,Washington Middle College High
WINTERS HIGH SCHOOL,Winters,Yolo,5738505,Winters High
WOODLAND HIGH SCHOOL,Woodland,Yolo,5738802,Woodland Senior High
LINDHURST HIGH SCHOOL,Olivehurst,Yuba,5830013,Lindhurst High
MARYSVILLE CHARTER ACAD ARTS,Marysville,Yuba,5830138,Marysville Charter Academy for the Arts
MARYSVILLE HIGH SCHOOL,Marysville,Yuba,5835202,Marysville High
WHEATLAND HIGH SCHOOL,Wheatland,Yuba,5838305,Wheatland Union High